"Country Name","Country Code","gdp_1990","gdp_2015","im_1990","im_2015"
"Albania","ALB","2721.61521196936","11504.7482377884","34.7","12.5"
"Algeria","DZA","6616.20968397166","14612.6803900956","41.4","21.9"
"Angola","AGO","2840.20076315583","6634.40227421076","130.9","56.9"
"Antigua and Barbuda","ATG","10587.2525761003","21415.7079476356","24.9","5.3"
"Argentina","ARG","6990.5540452718","20337.7159452789","25.5","10.3"
"Armenia","ARM","2418.86092635283","8709.54108816243","42.4","12.5"
"Australia","AUS","17373.7682260749","46475.9277518569","7.6","3.2"
"Austria","AUT","19394.2337451815","49419.3300615875","8","3"
"Azerbaijan","AZE","5502.43398864152","17779.7737304396","75.4","28.2"
"Bahamas, The","BHS","15693.8358583275","23072.8147057111","19.6","9"
"Bahrain","BHR","22969.1779407432","47333.8480296294","19.5","6.6"
"Bangladesh","BGD","832.434081719866","3335.33725502166","99.7","29.7"
"Barbados","BRB","8595.21093112885","16386.5361306413","15.9","11.7"
"Belarus","BLR","5399.40549943281","18344.8161284303","12.1","3"
"Belgium","BEL","18757.8052190019","45608.4292926868","8.3","3.2"
"Belize","BLZ","3338.21210391779","8583.13830062634","31.7","13.4"
"Benin","BEN","945.37674549935","2115.79559915728","107.4","64.6"
"Bhutan","BTN","1502.88065800944","8236.35647065197","89.5","27.8"
"Bolivia","BOL","2396.11496689992","6954.30176728424","85.2","30.5"
"Botswana","BWA","5242.045646628","16350.4743355753","41.5","33.9"
"Brazil","BRA","6686.08048384202","15615.3430536538","53.4","14"
"Brunei Darussalam","BRN","54726.5642826069","79429.0000205702","10.2","8.5"
"Bulgaria","BGR","5187.75319639011","18248.8318642722","14.7","7"
"Burkina Faso","BFA","530.78551538395","1651.23267324752","98.6","54.4"
"Burundi","BDI","702.879896737916","796.994415365492","103","50.1"
"Cabo Verde","CPV","1070.91406516043","6301.69606888065","48","18.9"
"Cameroon","CMR","1843.49885011014","3184.81054163084","88.5","54.5"
"Canada","CAN","20107.8306877283","44204.9465819306","6.8","4.5"
"Central African Republic","CAF","602.549493843312","666.958171946599","114","91.2"
"Chad","TCD","717.712756095914","2180.17983061136","111.2","76.8"
"Chile","CHL","4589.10839980802","23579.4622742938","16","7.3"
"China","CHN","986.568444391292","14448.2656184581","42.2","9.2"
"Colombia","COL","4869.16184672328","13825.9212560229","28.9","13.6"
"Comoros","COM","1034.10155080008","1504.52598064623","88.3","56.5"
"Congo, Dem. Rep.","COD","827.600330402252","799.076703882725","118.4","74"
"Congo, Rep.","COG","3322.42159504868","5901.68260196761","59.3","39.2"
"Costa Rica","CRI","5033.09994187275","15879.5967691064","14.3","7.9"
"Cote d'Ivoire","CIV","2064.23166352787","3461.60380991488","104.2","68"
